evaluation,metric_type,comparison,level,reference,predicted,n_cases,confusion_type
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,01-01-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,01-03-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,01-05-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-01-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-04-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,03-07-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-01-04,04-09-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-03-00,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-03-00,03-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-03-00,03-03-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-03-01,03-03-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-03-02,03-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-03-02,03-03-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-04-00,03-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-04-00,04-01-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-05-00,03-05-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-00,01-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-00,02-03-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-00,03-02-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-00,03-08-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-02,03-08-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-03,03-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-04,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-06-04,03-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-08-00,01-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-08-00,03-03-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-08-00,03-08-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-08-01,01-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-08-01,01-04-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,03-08-01,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,04-00-00,00-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,04-00-00,04-06-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,04-01-00,03-01-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,04-02-00,00-02-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,04-05-00,01-01-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,04-05-00,01-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,04-05-00,03-04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,04-08-00,04-99-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,05-03-00,05-05-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,05-06-00,01-01-00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,full,05-06-00,01-01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,01,03,47,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,03,01,13,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,03,04,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,02,01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,04,00,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,04,01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,04,03,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,05,01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,01,00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,01,02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,01,04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,03,00,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level1,03,02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-04,03-02,9,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,03-02,9,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,03-02,8,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,01-05,6,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,01-04,5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-04,01-01,5,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,03-01,4,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,03-04,4,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,05-06,05-05,4,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-00,01-01,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-00,01-04,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-00,03-02,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,03-05,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,03-08,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,03-09,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-06,03-02,3,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-00,03-04,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,03-03,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,03-07,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-04,01-05,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,02-05,01-01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,01-01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,03-03,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,03-04,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-03,03-02,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-06,03-08,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-08,01-01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-08,01-04,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,05-06,01-01,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,05-06,05-03,2,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-00,00-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-00,01-05,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-00,03-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-01,04-09,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-03,02-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-03,03-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-03,03-05,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-04,01-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,01-04,03-06,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-00,01-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-00,01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-00,03-05,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,00-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,01-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,01-05,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,03-07,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,04-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-01,04-09,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-03,01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-04,03-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-04,04-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-06,01-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-06,01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-06,02-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,03-08,03-03,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,04-00,00-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,04-00,04-06,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,04-01,03-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,04-02,00-02,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,04-05,01-01,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,04-05,01-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,04-05,03-04,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,04-08,04-99,1,
EXP1 narrative-present sensitivity,direct,EXP1_direct vs PHY_direct,level2,05-03,05-05,1,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,01-01-01,112,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-04,03-01-01,53,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-04-01,49,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-05-00,02-04-00,49,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-01,03-01-04,32,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-05,01-05-00,31,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-06-00,03-06-99,30,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-02,03-01-01,27,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-01-01,25,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-05-00,20,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,03-03-02,17,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,01-01-01,16,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-01-04,16,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-09-01,16,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,01-01-04,15,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,01-01-02,14,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,03-03-01,14,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-06-04,03-06-07,14,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-00,01-04-02,13,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-03,01-04-01,13,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-02,03-01-99,13,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-00,01-04-01,11,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-01-05,11,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,03-03-03,11,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,01-01-05,10,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-02,01-01-01,10,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-01-02,10,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,04-00-00,04-99-00,10,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,01-01-06,9,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,01-01-99,9,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-99-00,9,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,01-01-00,8,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-01-00,8,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-06-99,8,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,05-06-00,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-04-03,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-05-00,01-01-05,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-00,03-01-03,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-02,03-03-02,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,01-01-01,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-04-00,03-04-99,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-05-01,03-01-01,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-08-00,01-01-01,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-06-00,05-03-00,7,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-00-00,01-01-01,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,01-01-04,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,03-01-04,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-03-00,03-03-02,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-03-02,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-00-00,03-01-01,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-00,03-01-99,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,03-06-04,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-04-00,03-01-04,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-06-00,03-06-04,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-07-01,03-07-99,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-09-01,01-05-00,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-00-00,05-03-00,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-05-00,05-03-00,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-05-00,05-06-00,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-06-00,01-01-01,6,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,01-05-00,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-05,01-01-01,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-00,01-01-04,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-07-01,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,02-00-00,02-99-00,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,01-05-00,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,03-03-99,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-04-00,01-01-01,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-05-01,03-01-04,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,04-03-00,03-04-02,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,04-05-00,03-99-00,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-06-00,01-01-04,5,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,03-08-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,01-04-01,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,01-04-02,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,03-01-03,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-01-99,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-03-01,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-06-04,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-00-00,00-03-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-00-00,03-99-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-02,03-01-03,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-02,03-02-02,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-02,03-07-01,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-03,03-01-01,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,01-99-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-04-00,01-01-02,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-07-00,03-07-99,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-08-00,03-99-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,04-00-00,04-08-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,04-00-00,04-09-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-00-00,05-06-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-04-00,03-01-99,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-06-00,05-05-00,4,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-00-00,01-01-04,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-00-00,01-01-05,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,01-05-00,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-02,01-04-02,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,03-02-02,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-05,03-09-01,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-06,01-99-00,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-00,01-01-01,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-01,01-04-02,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,01-01-99,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-01-03,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-04-02,03-06-07,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,02-03-00,02-04-00,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-00-00,03-01-02,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-00-00,03-01-04,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-00-00,03-03-02,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-00,03-01-01,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-01,01-04-01,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-01,03-01-02,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-01,03-01-03,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-01,03-07-01,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-02,01-01-04,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-01-02,03-09-01,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-02-00,01-01-04,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-03-00,03-06-07,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-07-00,03-06-99,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,03-07-00,03-07-01,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,04-05-00,01-04-02,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-00-00,05-05-00,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-03-00,05-05-00,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-03-00,05-06-00,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,05-06-00,05-08-00,3,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-00-00,01-01-00,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-00-00,01-01-06,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-00-00,01-04-01,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-00-00,01-04-02,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,01-03-00,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,03-01-04,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-00,03-03-03,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,01-01-02,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,01-01-05,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,01-01-99,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,01-03-00,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,03-01-01,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,03-08-99,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,03-09-01,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-01,04-05-00,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,01-01-05,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,01-01-06,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,03-01-01,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,03-01-99,2,
EXP1 narrative-present sensitivity,underlying,EXP1_underlying vs PHY_underlying,full,01-01-04,03-02-01,2,
